Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,2,2,31.6,1,Y
IDCJAC0010,A764,2017,2,3,29.5,1,Y
IDCJAC0010,A764,2017,2,4,32.6,1,Y
IDCJAC0010,A764,2017,2,5,33.4,1,Y
IDCJAC0010,A764,2017,2,6,33.3,1,Y
IDCJAC0010,A764,2017,2,7,33.6,1,Y
IDCJAC0010,A764,2017,2,8,33.2,1,Y
IDCJAC0010,A764,2017,2,9,32,1,Y
IDCJAC0010,A764,2017,2,10,32.9,1,Y
IDCJAC0010,A764,2017,2,11,32,1,Y
IDCJAC0010,A764,2017,2,12,32.5,1,Y
IDCJAC0010,A764,2017,2,13,32,1,Y
IDCJAC0010,A764,2017,2,14,32.7,1,Y
IDCJAC0010,A764,2017,2,15,33.5,1,Y
IDCJAC0010,A764,2017,2,16,33.4,1,Y
IDCJAC0010,A764,2017,2,17,33.9,1,Y
IDCJAC0010,A764,2017,2,18,33.8,1,Y
IDCJAC0010,A764,2017,2,19,34,1,Y
IDCJAC0010,A764,2017,2,20,34.2,1,Y
IDCJAC0010,A764,2017,2,21,33.2,1,Y
IDCJAC0010,A764,2017,2,22,33,1,Y
IDCJAC0010,A764,2017,2,23,33.4,1,Y
IDCJAC0010,A764,2017,2,24,32.4,1,Y
IDCJAC0010,A764,2017,2,25,25.7,1,Y
IDCJAC0010,A764,2017,2,26,27.7,1,Y
IDCJAC0010,A764,2017,2,27,30.7,1,Y
IDCJAC0010,A764,2017,2,28,31.5,1,Y
IDCJAC0010,A764,2017,3,1,29.9,1,Y
IDCJAC0010,A764,2017,3,2,31,1,Y
IDCJAC0010,A764,2017,3,3,32.1,1,Y
IDCJAC0010,A764,2017,3,4,31.6,1,Y
IDCJAC0010,A764,2017,3,5,30.6,1,Y
IDCJAC0010,A764,2017,3,6,27.6,1,Y
IDCJAC0010,A764,2017,3,7,33.2,1,Y
IDCJAC0010,A764,2017,3,8,34.6,1,Y
IDCJAC0010,A764,2017,3,9,33.9,1,Y
IDCJAC0010,A764,2017,3,10,33.9,1,Y
IDCJAC0010,A764,2017,3,11,33.6,1,Y
IDCJAC0010,A764,2017,3,12,33.9,1,Y
IDCJAC0010,A764,2017,3,13,34.4,1,Y
IDCJAC0010,A764,2017,3,14,34.2,1,Y
IDCJAC0010,A764,2017,3,15,31.2,1,Y
IDCJAC0010,A764,2017,3,16,32.1,1,Y
IDCJAC0010,A764,2017,3,17,33.5,1,Y
IDCJAC0010,A764,2017,3,18,31.7,1,Y
IDCJAC0010,A764,2017,3,19,28.4,1,Y
IDCJAC0010,A764,2017,3,20,30,1,Y
IDCJAC0010,A764,2017,3,21,30.4,1,Y
IDCJAC0010,A764,2017,3,22,31.2,1,Y
IDCJAC0010,A764,2017,3,23,31.8,1,Y
IDCJAC0010,A764,2017,3,24,32.6,1,Y
IDCJAC0010,A764,2017,3,25,33.4,1,Y
IDCJAC0010,A764,2017,3,26,32.9,1,Y
IDCJAC0010,A764,2017,3,27,26.9,1,Y
IDCJAC0010,A764,2017,3,28,29.7,1,Y
IDCJAC0010,A764,2017,3,29,28.8,1,Y
IDCJAC0010,A764,2017,3,30,30.3,1,Y
IDCJAC0010,A764,2017,3,31,29.8,1,Y
IDCJAC0010,A764,2017,4,1,29,1,Y
IDCJAC0010,A764,2017,4,2,30,1,Y
IDCJAC0010,A764,2017,4,3,31,1,Y
IDCJAC0010,A764,2017,4,4,32.1,1,Y
IDCJAC0010,A764,2017,4,5,32.9,1,Y
IDCJAC0010,A764,2017,4,6,29.8,1,Y
IDCJAC0010,A764,2017,4,7,30.4,1,Y
IDCJAC0010,A764,2017,4,8,31.6,1,Y
IDCJAC0010,A764,2017,4,9,31.9,1,Y
IDCJAC0010,A764,2017,4,10,32,1,Y
IDCJAC0010,A764,2017,4,11,32.9,1,Y
IDCJAC0010,A764,2017,4,12,30.5,1,Y
IDCJAC0010,A764,2017,4,13,30.7,1,Y
IDCJAC0010,A764,2017,4,14,31.3,1,Y
IDCJAC0010,A764,2017,4,15,32.3,1,Y
IDCJAC0010,A764,2017,4,16,31.6,1,Y
IDCJAC0010,A764,2017,4,17,26.9,1,Y
IDCJAC0010,A764,2017,4,18,29.7,1,Y
IDCJAC0010,A764,2017,4,19,30.3,1,Y
IDCJAC0010,A764,2017,4,20,31.4,1,Y
IDCJAC0010,A764,2017,4,21,27.7,1,Y
IDCJAC0010,A764,2017,4,22,25.5,1,Y
IDCJAC0010,A764,2017,4,23,27.8,1,Y
IDCJAC0010,A764,2017,4,24,30,1,Y
IDCJAC0010,A764,2017,4,25,30.9,1,Y
IDCJAC0010,A764,2017,4,26,29.3,1,Y
IDCJAC0010,A764,2017,4,27,23.7,1,Y
IDCJAC0010,A764,2017,4,28,25.7,1,Y
IDCJAC0010,A764,2017,4,29,28.7,1,Y
IDCJAC0010,A764,2017,4,30,28,1,Y
IDCJAC0010,A764,2017,5,1,28.4,1,Y
IDCJAC0010,A764,2017,5,2,27,1,Y
IDCJAC0010,A764,2017,5,3,29.7,1,Y
IDCJAC0010,A764,2017,5,4,29.1,1,Y
IDCJAC0010,A764,2017,5,5,25.2,1,Y
IDCJAC0010,A764,2017,5,6,27.8,1,Y
IDCJAC0010,A764,2017,5,7,28.8,1,Y
IDCJAC0010,A764,2017,5,8,29.2,1,Y
IDCJAC0010,A764,2017,5,9,28.6,1,Y
IDCJAC0010,A764,2017,5,10,29.3,1,Y
IDCJAC0010,A764,2017,5,11,28.9,1,Y
IDCJAC0010,A764,2017,5,12,29.5,1,Y
IDCJAC0010,A764,2017,5,13,30.9,1,Y
IDCJAC0010,A764,2017,5,14,25.7,1,Y
IDCJAC0010,A764,2017,5,15,28.6,1,Y
IDCJAC0010,A764,2017,5,16,26.3,1,Y
IDCJAC0010,A764,2017,5,17,29.4,1,Y
IDCJAC0010,A764,2017,5,18,26.5,1,Y
IDCJAC0010,A764,2017,5,19,27.3,1,Y
IDCJAC0010,A764,2017,5,20,22.2,1,Y
IDCJAC0010,A764,2017,5,21,26.5,1,Y
IDCJAC0010,A764,2017,5,22,27.7,1,Y
IDCJAC0010,A764,2017,5,23,28,1,Y
IDCJAC0010,A764,2017,5,24,29.5,1,Y
IDCJAC0010,A764,2017,5,25,29.3,1,Y
IDCJAC0010,A764,2017,5,26,29.5,1,Y
IDCJAC0010,A764,2017,5,27,28.7,1,Y
